eeg_data,P,A,D,Label
-407.9858869174678,3.0,3.0,3.0,Happy
-402.99149423918647,,,,
-398.6782416675986,,,,
-394.6711377243936,,,,
-391.1996904657576,,,,
-387.8022771132274,,,,
-384.4606011949349,,,,
-381.6140564251374,,,,
-379.1783986890296,,,,
-376.5838609129862,,,,
-373.84626067750565,,,,
-371.19413105792603,,,,
-368.49618754285376,,,,
-366.21784412789253,,,,
-364.39701562497964,,,,
-362.7015266786449,,,,
-361.24342915656405,,,,
-359.48108554717504,,,,
-357.33114186190744,,,,
-355.1349614710279,,,,
-352.73323943619056,,,,
-350.3696390251307,,,,
-348.070382505189,,,,
-345.5723042915875,,,,
-342.9243486557313,,,,
-340.6515058801407,,,,
-338.76305484695035,,,,
-337.0373683987325,,,,
-335.60656099507094,,,,
-334.09585201657063,,,,
-332.48022220182304,,,,
-331.0560901535219,,,,
-329.7405604445498,,,,
-328.6098155726577,,,,
-327.70648343858755,,,,
-326.9373867477615,,,,
-326.33482064970207,,,,
-325.9283374321685,,,,
-325.7152006634749,,,,
-325.71330168075235,,,,
-325.93270334323995,,,,
-326.21238867630285,,,,
-326.5464200002524,,,,
-327.023530586671,,,,
-327.604727149633,,,,
-328.3931362373824,,,,
-329.4017711022404,,,,
-330.5493213580427,,,,
-331.8619970749156,,,,
-333.3896949370381,,,,
-335.13027125529817,,,,
-337.08130284360334,,,,
-339.2565310966279,,,,
-341.6130090516808,,,,
-344.15337440047614,,,,
-346.91262690673784,,,,
-349.88444888169266,,,,
-353.07474097025914,,,,
-356.49045435652647,,,,
-360.1270349655265,,,,
-363.98934443492135,,,,
-368.0879440182509,,,,
-372.42573481820915,,,,
-377.00398293116257,,,,
-381.8276618267994,,,,
-385.755922410543,,,,
-388.67466081287637,,,,
-391.12350190831006,,,,
-392.7728648938676,,,,
-394.2802973240586,,,,
-395.67175378352545,,,,
-396.3185710203417,,,,
-396.34027870116785,,,,
-396.55956726403764,,,,
-396.9539950267537,,,,
-397.19189967012255,,,,
-397.46280020666507,,,,
-397.095881668688,,,,
-396.036043330263,,,,
-394.7621432473257,,,,
-393.11244158725333,,,,
-391.8631912486549,,,,
-391.1339453244609,,,,
-390.434412945092,,,,
-389.9927944659696,,,,
-389.4600518660652,,,,
-388.79826576148366,,,,
-388.3842587695192,,,,
-388.1477010227402,,,,
-387.3341385714781,,,,
-385.92984607542036,,,,
-384.25309179786393,,,,
-382.11377040682856,,,,
-380.0497245841332,,,,
-378.09660975068726,,,,
-375.82841203316826,,,,
-373.3638632916803,,,,
-371.408762621008,,,,
-369.9855186260115,,,,
-368.84645972117113,,,,
-368.182477565736,,,,
-367.48427367846085,,,,
-366.7397976242682,,,,
-366.37415270042715,,,,
-366.2900255615739,,,,
-366.13389296517744,,,,
-365.9326524691968,,,,
-365.7980244721614,,,,
-365.6531261582258,,,,
-365.8310137834176,,,,
-366.35472168349935,,,,
-367.0016337846054,,,,
-367.8519372026767,,,,
-368.2757449954528,,,,
-368.19251868054124,,,,
-367.96114112754,,,,
-367.39947595769615,,,,
-366.8244785278283,,,,
-366.26194150348056,,,,
-365.39139736849563,,,,
-364.2751726437463,,,,
-363.4503922915745,,,,
-362.91911012820174,,,,
-362.4611592366383,,,,
-362.2087059073079,,,,
-361.761202681984,,,,
-361.0910852285988,,,,
-360.50572963822816,,,,
-359.91468553595223,,,,
-359.3116176683493,,,,
-358.7293105073978,,,,
-358.1056048783941,,,,
-357.44686145440505,,,,
-356.8293012266578,,,,
-356.2484552422013,,,,
-355.6733485996562,,,,
-355.1199347403303,,,,
-354.47978533999503,,,,
-353.7419371589213,,,,
-352.9700748555462,,,,
-352.1347950756729,,,,
-351.2894992993417,,,,
-350.44028874831474,,,,
-349.5355724841526,,,,
-348.58715903377333,,,,
-347.7159316253846,,,,
-346.9268649935155,,,,
-346.17081808001404,,,,
-345.48004937766717,,,,
-344.77251276824546,,,,
-344.04459440672537,,,,
-343.36545196423987,,,,
-342.7185934882632,,,,
-342.04010662030817,,,,
-341.33325563407186,,,,
-340.61814477262806,,,,
-339.88000402295506,,,,
-339.1752892854008,,,,
-338.5071819546423,,,,
-337.8358872581859,,,,
-337.17429326531396,,,,
-336.85418681334596,,,,
-336.9060442467927,,,,
-337.18448927944337,,,,
-337.7856769549577,,,,
-338.5107187675063,,,,
-339.3545728588632,,,,
-340.5051136943125,,,,
-341.9273920226557,,,,
-343.3971770712459,,,,
-344.9239668179406,,,,
-346.59815598111504,,,,
-348.36990883962034,,,,
-350.42944945620695,,,,
-352.79374883017266,,,,
-355.33154279694185,,,,
-358.090109449692,,,,
-360.81870817387687,,,,
-363.4824242855488,,,,
-366.23709929253096,,,,
-369.0106442170443,,,,
-371.92309514731295,,,,
-374.98783701059233,,,,
-378.0819296968369,,,,
-381.23073494743545,,,,
-384.6717040257788,,,,
-388.40984484260366,,,,
-392.3483282521914,,,,
-396.54787129105284,,,,
-400.8398102596669,,,,
-405.21446027241774,,,,
-409.80722152871164,,,,
-414.5819504741248,,,,
-418.42237959360517,,,,
-421.230562081302,,,,
-423.5042351767466,,,,
-424.9237309601274,,,,
-426.1630482508752,,,,
-427.24447251374914,,,,
-427.5400912139241,,,,
-427.1724931171262,,,,
-426.89656791064385,,,,
-426.6846817583648,,,,
-426.23977009295913,,,,
-425.73305851355116,,,,
-424.5319865439538,,,,
-422.5844316885292,,,,
-420.3344021768688,,,,
-417.62816750764017,,,,
-415.2802061153559,,,,
-413.4089271074186,,,,
-411.5109682026722,,,,
-409.82363153674925,,,,
-407.96658397069626,,,,
-405.90015368108635,,,,
-404.0241189300836,,,,
-402.2611462688788,,,,
-399.84229434344735,,,,
-396.7547160807087,,,,
-393.3183616932242,,,,
-389.33941058603983,,,,
-385.369490841308,,,,
-381.44407047783545,,,,
-377.1268566578289,,,,
-372.53911547869245,,,,
-368.6495794861938,,,,
-365.50627248493964,,,,
-362.7400385735657,,,,
-360.6178053567733,,,,
-358.47646601052094,,,,
-356.29857753421777,,,,
-354.6555547390841,,,,
-353.42238699126966,,,,
-352.0585933315037,,,,
-350.5968575740625,,,,
-349.2242405220549,,,,
-347.8211546171849,,,,
-346.87467397153114,,,,
-346.42074717483047,,,,
-346.12773988366257,,,,
