eeg_data,P,A,D,Label
-142.74253769435163,0.0,0.0,0.0,Calm
-137.6435698924316,,,,
-173.8070662010012,,,,
-189.49290228939063,,,,
-198.3452687106808,,,,
-209.03633939527785,,,,
-213.925306078294,,,,
-219.97970858626584,,,,
-226.6211418926361,,,,
-232.45984502609082,,,,
-238.62744180861984,,,,
-244.66453380964688,,,,
-250.75247500166884,,,,
-255.5352843059289,,,,
-258.8999061107748,,,,
-261.8338527121832,,,,
-264.0019612287824,,,,
-267.0753321832006,,,,
-271.30684912243254,,,,
-275.65082860108816,,,,
-280.59758431150004,,,,
-285.3866828395433,,,,
-289.9375659758673,,,,
-295.0651243810449,,,,
-300.616364825853,,,,
-304.98657635129337,,,,
-308.1483895938244,,,,
-310.7767748086763,,,,
-312.46806109435363,,,,
-314.3704938427838,,,,
-316.56026591057093,,,,
-318.13009836258436,,,,
-319.33384320446675,,,,
-320.7959349725001,,,,
-322.4742273379716,,,,
-324.2531383626013,,,,
-326.2837117065108,,,,
-327.9846595373589,,,,
-329.34790753342344,,,,
-330.79325758098327,,,,
-332.20307538706817,,,,
-333.45465034189044,,,,
-334.5857427917693,,,,
-335.577020938569,,,,
-336.4081704962176,,,,
-337.27047813385377,,,,
-338.16835722404295,,,,
-338.99358072961917,,,,
-339.79029226104063,,,,
-339.8154065948878,,,,
-338.987433272298,,,,
-337.68965059329446,,,,
-335.7084535193146,,,,
-333.4460225527586,,,,
-330.9257799665441,,,,
-327.7547925642916,,,,
-324.00905411108,,,,
-320.24738825859384,,,,
-316.4614244584648,,,,
-312.4258190506721,,,,
-308.27298040259103,,,,
-303.5633688099348,,,,
-298.2636116582594,,,,
-292.69691133553033,,,,
-286.76019846627764,,,,
-282.11184235652235,,,,
-278.9529567807607,,,,
-276.430046478379,,,,
-275.0307835688123,,,,
-273.8760102480136,,,,
-272.9230138728917,,,,
-273.05647519888856,,,,
-274.11871751280165,,,,
-274.7944140907103,,,,
-275.10464462579426,,,,
-275.6006515004198,,,,
-275.9746853841473,,,,
-277.2620855863329,,,,
-279.54962447018664,,,,
-282.0838409558208,,,,
-285.11316925345176,,,,
-287.63336589286064,,,,
-289.47522113255854,,,,
-291.30179581373426,,,,
-292.814335142817,,,,
-294.4348786859248,,,,
-296.2148389052948,,,,
-297.67780876719667,,,,
-298.9088119245891,,,,
-300.9405792804556,,,,
-303.7965237936614,,,,
-307.03360253035265,,,,
-310.91340086737284,,,,
-314.71113058081187,,,,
-318.3780780532838,,,,
-322.4934244704993,,,,
-326.8975620411395,,,,
-330.3226496446545,,,,
-332.7075127785636,,,,
-334.5349830891196,,,,
-335.4565994089898,,,,
-336.3418758755488,,,,
-337.214307898409,,,,
-337.32654906698536,,,,
-336.8431482989912,,,,
-336.46485236347195,,,,
-336.14891200744626,,,,
-335.65486679689695,,,,
-335.13787819284215,,,,
-333.9653748084188,,,,
-332.0912665929289,,,,
-329.9463744088144,,,,
-327.37830884679613,,,,
-325.44379637765405,,,,
-324.2835212598457,,,,
-323.2816988429137,,,,
-322.744833013835,,,,
-322.15276290987606,,,,
-321.4603557887164,,,,
-321.2000231336422,,,,
-321.26889777781975,,,,
-320.74006654651754,,,,
-319.6068430140671,,,,
-318.25150327833217,,,,
-316.4446328184469,,,,
-314.8703179043277,,,,
-313.5751407584412,,,,
-312.0302172955527,,,,
-310.389170238953,,,,
-309.0612858614121,,,,
-308.0299749919131,,,,
-307.21353555159294,,,,
-306.71606429528566,,,,
-306.17696332777075,,,,
