hr_data,P,A,D,Label
77,-2.0,2.0,0.0,Anger
77,,,,
77,,,,
77,,,,
76,,,,
74,,,,
73,,,,
72,,,,
71,,,,
71,,,,
71,,,,
71,,,,
72,,,,
74,,,,
75,,,,
76,,,,
77,,,,
77,,,,
77,,,,
78,,,,
78,,,,
78,,,,
78,,,,
77,,,,
77,,,,
77,,,,
77,,,,
77,,,,
77,,,,
78,,,,
79,,,,
79,,,,
80,,,,
80,,,,
81,,,,
82,,,,
82,,,,
82,,,,
82,,,,
81,,,,
81,,,,
80,,,,
80,,,,
80,,,,
79,,,,
79,,,,
79,,,,
79,,,,
79,,,,
79,,,,
79,,,,
79,,,,
79,,,,
79,,,,
79,,,,
79,,,,
80,,,,
81,,,,
82,,,,
82,,,,
82,,,,
82,,,,
81,,,,
80,,,,
79,,,,
78,,,,
77,,,,
77,,,,
77,,,,
76,,,,
77,,,,
77,,,,
77,,,,
77,,,,
76,,,,
76,,,,
76,,,,
76,,,,
76,,,,
76,,,,
77,,,,
79,,,,
79,,,,
80,,,,
80,,,,
80,,,,
81,,,,
80,,,,
80,,,,
80,,,,
80,,,,
80,,,,
81,,,,
81,,,,
81,,,,
81,,,,
81,,,,
81,,,,
80,,,,
79,,,,
77,,,,
76,,,,
76,,,,
75,,,,
75,,,,
75,,,,
75,,,,
76,,,,
76,,,,
76,,,,
77,,,,
77,,,,
77,,,,
78,,,,
78,,,,
78,,,,
78,,,,
78,,,,
78,,,,
79,,,,
78,,,,
78,,,,
78,,,,
78,,,,
78,,,,
79,,,,
79,,,,
79,,,,
78,,,,
78,,,,
78,,,,
78,,,,
78,,,,
77,,,,
77,,,,
76,,,,
76,,,,
76,,,,
77,,,,
77,,,,
77,,,,
77,,,,
77,,,,
77,,,,
77,,,,
78,,,,
78,,,,
77,,,,
77,,,,
77,,,,
77,,,,
77,,,,
77,,,,
78,,,,
78,,,,
78,,,,
78,,,,
78,,,,
79,,,,
78,,,,
79,,,,
80,,,,
81,,,,
81,,,,
81,,,,
80,,,,
81,,,,
81,,,,
80,,,,
79,,,,
78,,,,
77,,,,
76,,,,
76,,,,
76,,,,
77,,,,
76,,,,
76,,,,
77,,,,
77,,,,
77,,,,
77,,,,
77,,,,
77,,,,
77,,,,
77,,,,
77,,,,
78,,,,
77,,,,
77,,,,
76,,,,
76,,,,
75,,,,
75,,,,
75,,,,
74,,,,
75,,,,
76,,,,
77,,,,
77,,,,
78,,,,
79,,,,
80,,,,
81,,,,
82,,,,
83,,,,
83,,,,
84,,,,
83,,,,
83,,,,
82,,,,
81,,,,
80,,,,
80,,,,
78,,,,
77,,,,
75,,,,
74,,,,
74,,,,
74,,,,
73,,,,
74,,,,
73,,,,
74,,,,
74,,,,
74,,,,
75,,,,
75,,,,
75,,,,
76,,,,
77,,,,
